round,layer,baseline_reset_slots,targeted_slots,random_slots,targeted_clients,baseline_random_overlap_slots,replaced_reset_slots,cold_start_count,stale_history_count,no_target_slots_count,no_valid_history_count,targeted_count,before_start_round_count,non_target_layer_count
156,features.37,80,16,64,8,0,16,0,2,0,0,8,0,0
156,features.40,80,16,64,8,0,16,0,2,0,0,8,0,0
156,features.7,20,0,20,0,0,0,0,2,8,0,0,0,0
157,features.10,20,0,20,0,0,0,0,4,6,0,0,0,0
157,features.14,40,6,34,6,0,6,0,4,0,0,6,0,0
157,features.17,40,6,34,6,0,6,0,4,0,0,6,0,0
157,features.20,40,6,34,6,0,6,0,4,0,0,6,0,0
157,features.24,80,12,68,6,0,12,0,4,0,0,6,0,0
157,features.27,80,12,68,6,0,12,0,4,0,0,6,0,0
157,features.30,80,12,68,6,0,12,0,4,0,0,6,0,0
157,features.34,80,12,68,6,1,11,0,4,0,0,6,0,0
157,features.37,80,12,68,6,0,12,0,4,0,0,6,0,0
157,features.40,80,12,68,6,0,12,0,4,0,0,6,0,0
157,features.7,20,0,20,0,0,0,0,4,6,0,0,0,0
158,features.10,20,0,20,0,0,0,0,3,7,0,0,0,0
158,features.14,40,7,33,7,0,7,0,3,0,0,7,0,0
158,features.17,40,7,33,7,0,7,0,3,0,0,7,0,0
158,features.20,40,7,33,7,0,7,0,3,0,0,7,0,0
158,features.24,80,14,66,7,1,13,0,3,0,0,7,0,0
158,features.27,80,14,66,7,0,14,0,3,0,0,7,0,0
158,features.30,80,14,66,7,0,14,0,3,0,0,7,0,0
158,features.34,80,14,66,7,0,14,0,3,0,0,7,0,0
