source_algorithm,seed,round,client_id,client_visit_index,participation_gap,task_id,task_seed,num_reset_kernels,local_update_norm,dispatch_minus_global_norm,input_change_norm,response_change_norm,secant_gain,response_change_ratio,h_norm,input_direction_cosine,response_direction_cosine,response_norm_ratio,response_prediction_nre,predicted_support,realized_support,support_sign_agreement
FedAvg,1,153,18,8,16,,,,0.962842583656311,0.0,1.6484240293502808,1.2567585706710815,0.7624000550184076,0.6495493984037591,0.7614181041717529,-0.03891827763800646,-0.3907286742263788,0.872660644115236,0.834514876765685,-5.6804492487572134e-05,-0.020479880273342133,1
FedAvg,1,155,98,15,8,,,,0.934719443321228,0.0,1.1651564836502075,1.101806402206421,0.9456295507653454,0.581239917263162,0.9473452568054199,-0.0645518848984549,-0.496941386424126,0.8402356916411335,0.8651038770261076,0.002698045689612627,0.007125635165721178,1
FedAvg,1,157,88,20,6,,,,1.1789597272872925,0.0,0.9621174931526184,1.3993570804595947,1.4544555009313853,0.6600809596939339,1.4512364864349365,-0.056280371255821686,-0.5041527387433982,1.1032682925273607,0.8661261194257917,0.021464906632900238,-0.09395572543144226,0
FedAvg,1,157,65,16,12,,,,0.9039568305015564,0.0,1.3306944370269775,1.2339891195297241,0.9273271798488624,0.6473838772536202,0.9278134703636169,-0.04796787581051085,-0.4677105553660176,0.5247871756893698,0.8698693773579138,-0.018418146297335625,-0.015071718953549862,1
FedAvg,1,158,18,9,5,,,,1.555766224861145,0.0,0.7831836342811584,1.725663185119629,2.2033953591245785,0.685165230615838,2.2014973163604736,-0.05694900076864043,-0.3714125669899651,2.8913043239976712,0.8719475104014385,-0.0035448388662189245,-0.07203315198421478,1
FedAvg,1,159,98,16,4,,,,0.7796140313148499,0.0,0.7174462676048279,0.9885585904121399,1.377885195097654,0.576643112345115,1.3777309656143188,-0.05909981728094783,-0.5342592238048084,1.4542907557209879,0.8774110555686866,-0.0026599643751978874,-0.06290533393621445,1
FedAvg,1,159,64,14,13,,,,1.448425054550171,0.0,1.3789831399917603,1.803855299949646,1.3081054058130952,0.661208230952191,1.3083999156951904,-0.053641638806820505,-0.5242382593681638,0.3754444604152162,0.8983550519607761,0.04703591763973236,-0.053052954375743866,0
FedAvg,1,160,80,18,16,,,,0.7141339182853699,0.0,1.5118560791015625,1.3438079357147217,0.8888464677883927,0.6994153327595684,0.8883432149887085,-0.02533602899466587,-0.42535741178815767,0.8499057024248744,0.8438990968587341,-0.005010218825191259,-0.03003549762070179,1
FedAvg,1,161,96,22,37,,,,1.0121822357177734,0.0,2.3400721549987793,1.138669729232788,0.48659599098254963,0.6574136393249544,0.48741278052330017,-0.031017475559420214,-0.3917246401071671,0.23113259196898464,0.9022747866571524,0.022063298150897026,-0.008596988394856453,0
FedAvg,1,161,62,17,8,,,,1.297988772392273,0.0,0.9604013562202454,1.990135908126831,2.072191896893124,0.6790835583218404,2.068105936050415,-0.08094007218745411,-0.4920276702842184,0.7766191419038533,0.8640981720488429,0.03505608066916466,-0.03247454762458801,0
FedAvg,1,164,16,20,35,,,,1.3554214239120483,0.0,2.2287938594818115,1.456038475036621,0.6532853941792951,0.6960508472757077,0.6544269323348999,-0.02655161306965285,-0.1803367775906148,0.32384499653234583,0.8339249839189573,0.041080452501773834,-0.02689705789089203,0
FedAvg,1,164,98,17,5,,,,1.0763813257217407,0.0,0.7531460523605347,1.1012464761734009,1.4621951117188712,0.5933454908697257,1.461928129196167,-0.058846083170645075,-0.41080380028626456,1.0611354157645667,0.8385968715570353,-0.03037603572010994,-0.02037113904953003,1
FedAvg,1,166,18,10,8,,,,0.758139967918396,0.0,0.9986612200737,1.670320987701416,1.6725601776911652,0.7218620153716123,1.6725775003433228,-0.052541143280718114,-0.7814590419966093,0.7597596532477572,0.9436441274745547,0.0009178296895697713,-0.0002506975142750889,0
FedAvg,1,167,62,18,6,,,,1.040745735168457,0.0,0.8613107800483704,1.5846521854400635,1.8398146431526508,0.677568223462935,1.8420207500457764,-0.04584649307312513,-0.5081373136889723,0.8906849009324257,0.8673819663193619,-0.018461592495441437,-0.015534231439232826,1
FedAvg,1,168,42,15,25,,,,1.3628398180007935,0.0,1.8312550783157349,1.767498254776001,0.9651840836944799,0.6502059876212081,0.9659215211868286,-0.05712471227793164,-0.40883802924306994,0.5974084622263827,0.848464366622935,0.0012623817892745137,-0.027346426621079445,0
FedAvg,1,169,96,23,8,,,,0.9930768013000488,0.0,1.0336108207702637,1.228426456451416,1.1884806464533566,0.6126023789313986,1.1881049871444702,-0.019712989054648685,-0.5610586296961944,2.4375384780514784,0.9025644360443197,0.013078308664262295,-0.042376916855573654,0
FedAvg,1,170,65,17,13,,,,1.6854593753814697,0.0,1.235434651374817,1.8295942544937134,1.4809316320019212,0.7065663103275012,1.4785667657852173,-0.04826348520214251,-0.30521079875638685,1.5935880112107252,0.8193586269783325,-0.003974497318267822,-0.003662235802039504,1
FedAvg,1,170,16,21,6,,,,0.7734845280647278,0.0,0.8959363698959351,1.4772650003433228,1.6488503536398031,0.693908060603113,1.6501022577285767,-0.030418333366330735,-0.7784049098125615,2.521525824254295,0.9515506422802631,0.004801223985850811,-0.03778704255819321,0
FedAvg,1,170,88,21,13,,,,0.7096691131591797,0.0,1.235434651374817,1.2808446884155273,1.036756324577055,0.6781876147311492,1.03513503074646,-0.05002543282415235,-0.6768710919052183,0.7132838399719607,0.9164585520435017,0.002602546475827694,-0.005567151587456465,0
FedAvg,1,173,62,19,6,,,,2.1431779861450195,0.0,0.9902628064155579,2.291752576828003,2.3142872396885403,0.7197887818373543,2.314469814300537,-0.04527925088370517,-0.2593509359597051,1.2564737080049129,0.7953906264831111,0.002921359846368432,-0.06307925283908844,0
FedAvg,1,174,62,20,1,,,,0.6193452477455139,0.0,0.5879310369491577,2.189746618270874,3.724495698730243,0.7926617924534898,3.7301247119903564,-0.06592185167977098,-0.8825466572725973,1.6116919303095156,0.9685621287786229,1.0823453664779663,-1.8814671039581299,0
FedAvg,1,176,42,16,8,,,,1.4155349731445312,0.0,1.1510348320007324,1.7866090536117554,1.5521763581252477,0.6430410538221957,1.5503042936325073,-0.04121845735045219,-0.4895832845900728,1.6049836223688685,0.8689162768720552,0.0109790600836277,-0.04330768808722496,0
FedAvg,1,176,98,18,12,,,,0.8268702626228333,0.0,1.3635311126708984,1.1255258321762085,0.8254493217765245,0.5913699686727104,0.8257074952125549,-0.038647138826727,-0.6192468436400839,0.5648115032570988,0.9058289755258739,0.010191820561885834,-0.03863329812884331,0
FedAvg,1,177,42,17,1,,,,0.9767024517059326,0.0,0.5099933743476868,1.6071900129318237,3.1513939077823676,0.671835494351743,3.1509246826171875,-0.045634606053387386,-0.5948595892912572,2.0324507805721423,0.9040553444524684,0.15764282643795013,-0.44011902809143066,0
FedAvg,1,177,64,15,18,,,,1.4138193130493164,0.0,1.592948079109192,1.8451788425445557,1.15834211217685,0.6446615332468727,1.1571011543273926,-0.04939553622282034,-0.545504441429413,0.8843842277406986,0.8769541818396283,-0.0218260046094656,-0.017040042206645012,1
FedAvg,1,178,96,24,9,,,,1.2145053148269653,0.0,1.222914457321167,1.4103096723556519,1.1532365685199493,0.6388481144380996,1.1512157917022705,-0.04743748427387669,-0.4636803957304262,0.9689767049599596,0.8553706565271046,0.003948140889406204,-0.07661639153957367,0
FedAvg,1,178,16,22,8,,,,0.8236707448959351,0.0,1.1995757818222046,1.0485223531723022,0.8740776273247863,0.656493686570617,0.8750850558280945,-0.05141004645716182,-0.3181008909159046,0.5303172687356584,0.8296973186770163,0.023235172033309937,-0.044371336698532104,0
FedAvg,1,179,16,23,1,,,,0.48766452074050903,0.0,0.279549241065979,0.914687991142273,3.2720102821639108,0.6975241306407177,3.2691972255706787,-0.05590372013573516,-0.6292673738934349,3.7358215366880283,0.9362549768133446,0.2144468128681183,-1.01945960521698,0
FedAvg,1,180,80,19,20,,,,1.612095594406128,0.0,1.6290619373321533,1.7103321552276611,1.0498877397059259,0.7352379229545732,1.0488560199737549,-0.04850308750805646,-0.22437924669047563,1.1806734881855176,0.7827844387879392,-0.010663473978638649,-0.004135657101869583,1
