round,transplant_probe_0.2,transplant_probe_0.5,pure_fedavg
302,67.68000030517578,67.68000030517578,63.73
303,72.97000122070312,72.97000122070312,70.769997
304,70.4800033569336,70.4800033569336,69.93
305,73.72000122070312,73.72000122070312,73.449997
306,71.91999816894531,71.91999816894531,70.760002
307,70.91999816894531,70.91999816894531,68.099998
308,70.86000061035156,70.86000061035156,68.699997
309,73.4800033569336,73.4800033569336,71.160004
310,74.70999908447266,74.70999908447266,75.099998
311,71.36000061035156,71.36000061035156,74.800003
312,73.05999755859375,73.05999755859375,70.860001
313,73.2699966430664,73.2699966430664,73.879997
314,73.72000122070312,73.72000122070312,74.559998
315,72.4000015258789,72.4000015258789,71.860001
316,69.19000244140625,69.19000244140625,72.510002
317,68.08000183105469,68.08000183105469,71.010002
318,67.51000213623047,67.51000213623047,66.919998
319,58.56999969482422,58.56999969482422,59.82
320,62.68999862670898,62.68999862670898,64.599998
321,68.4800033569336,68.4800033569336,65.669998
322,67.5999984741211,67.5999984741211,72.25
323,71.7300033569336,71.7300033569336,71.489998
324,73.61000061035156,73.61000061035156,71.800003
325,75.56999969482422,75.56999969482422,74.25
326,73.70999908447266,73.70999908447266,73.709999
327,74.93000030517578,74.93000030517578,73.790001
328,72.72000122070312,72.72000122070312,73.040001
329,75.73999786376953,75.73999786376953,74.610001
330,74.31999969482422,74.31999969482422,73.900002
331,68.3499984741211,68.3499984741211,67.870003
332,70.06999969482422,70.06999969482422,71.209999
333,74.38999938964844,74.38999938964844,72.709999
334,73.4800033569336,73.4800033569336,73.540001
335,74.19000244140625,74.19000244140625,74.360001
336,75.48999786376953,75.48999786376953,74.730003
337,75.30999755859375,75.30999755859375,74.489998
338,74.7300033569336,74.7300033569336,74.779999
339,73.80999755859375,73.80999755859375,71.529999
340,74.38999938964844,74.38999938964844,73.980003
341,70.43000030517578,70.43000030517578,71.5
342,73.0199966430664,73.0199966430664,73.559998
343,60.95000076293945,60.95000076293945,61.27
344,69.68000030517578,69.68000030517578,69.07
345,73.16000366210938,73.16000366210938,70.239998
346,76.16999816894531,76.16999816894531,74.650002
347,72.37000274658203,72.37000274658203,68.199997
348,72.36000061035156,72.36000061035156,68.309998
349,76.08999633789062,76.08999633789062,74.690002
350,76.2300033569336,76.2300033569336,75.120003
351,71.72000122070312,71.72000122070312,69.080002
352,75.0199966430664,75.0199966430664,74.169998
353,73.08000183105469,73.08000183105469,73.169998
354,74.44000244140625,74.44000244140625,74.5
355,72.0,72.0,64.110001
356,51.77999877929688,51.77999877929688,69.75
357,73.45999908447266,73.45999908447266,71.25
358,73.45999908447266,73.45999908447266,72.669998
359,66.08000183105469,66.08000183105469,65.669998
360,73.41000366210938,73.41000366210938,69.629997
361,71.06999969482422,71.06999969482422,69.529999
362,69.20999908447266,69.20999908447266,69.300003
