round,test_accuracy,test_loss,selected_clients,probe_pairs,round_seconds
120,69.25,0.9461446577072143,"[61, 34, 64, 11, 96, 18, 82, 52, 72, 92]","[[34, 92], [61, 82], [52, 92], [64, 96], [96, 92]]",15.58848420000868
121,71.56999969482422,0.9061322084426879,"[93, 68, 94, 13, 36, 11, 5, 1, 40, 7]","[[94, 93], [1, 5], [5, 11], [13, 94], [7, 13]]",17.717662199982442
122,69.0199966430664,0.9840066701889038,"[73, 64, 37, 69, 31, 48, 77, 41, 53, 75]","[[64, 37], [69, 48], [41, 69], [75, 48], [31, 48]]",15.929881600022782
123,72.01000213623047,0.9140544764518738,"[46, 43, 84, 11, 66, 92, 16, 19, 96, 37]","[[37, 19], [19, 11], [43, 16], [16, 46], [96, 43]]",14.907295699988026
124,62.04999923706055,1.315724941444397,"[43, 96, 9, 0, 74, 19, 1, 23, 38, 66]","[[74, 9], [0, 96], [23, 9], [38, 96], [96, 9]]",14.758686800021678
125,62.68000030517578,1.3379829454421996,"[27, 62, 32, 10, 22, 72, 64, 25, 86, 60]","[[60, 22], [10, 22], [62, 32], [64, 10], [25, 60]]",16.98494049999863
126,64.29000091552734,1.2228104040145873,"[84, 7, 64, 76, 15, 46, 27, 47, 40, 69]","[[47, 40], [84, 15], [27, 7], [69, 84], [40, 84]]",16.615134999970905
127,71.19999694824219,0.9273343843460083,"[75, 97, 79, 87, 11, 7, 37, 92, 41, 12]","[[12, 97], [97, 11], [41, 92], [7, 11], [87, 37]]",18.672363500052597
128,68.23999786376953,1.033586021232605,"[78, 4, 17, 21, 76, 74, 19, 61, 45, 86]","[[4, 76], [17, 76], [86, 45], [76, 4], [61, 4]]",17.17720570001984
129,71.02999877929688,0.9647629598617554,"[23, 41, 75, 36, 26, 49, 95, 16, 93, 72]","[[95, 49], [36, 75], [49, 41], [16, 23], [23, 41]]",21.004265399998985
130,68.55999755859375,1.0610335302352905,"[59, 53, 65, 8, 68, 35, 13, 55, 23, 97]","[[13, 23], [23, 55], [8, 59], [68, 59], [55, 97]]",18.26666490000207
131,66.27999877929688,1.0652100835800171,"[74, 98, 22, 45, 97, 87, 92, 71, 47, 79]","[[74, 47], [22, 79], [97, 74], [92, 87], [79, 71]]",14.853719800012186
132,74.20999908447266,0.8667352005004882,"[35, 70, 59, 49, 36, 91, 82, 50, 26, 72]","[[50, 72], [35, 36], [91, 70], [70, 72], [26, 36]]",16.304121799999848
133,69.30999755859375,1.0307134801864624,"[22, 83, 75, 29, 66, 48, 12, 10, 86, 1]","[[75, 10], [66, 22], [22, 48], [12, 29], [29, 66]]",16.41128469997784
134,72.97000122070312,0.8832607696533203,"[76, 33, 40, 59, 65, 63, 73, 36, 99, 82]","[[33, 63], [40, 33], [82, 76], [59, 36], [63, 99]]",20.936036100029014
135,66.58000183105469,1.1632002626419067,"[85, 88, 54, 40, 70, 67, 86, 38, 58, 42]","[[86, 58], [58, 85], [67, 70], [42, 58], [70, 86]]",16.85074739996344
136,59.38999938964844,1.4207557025909423,"[89, 56, 12, 90, 94, 86, 19, 78, 92, 59]","[[90, 94], [86, 56], [92, 19], [56, 92], [78, 89]]",15.165305899980012
137,72.11000061035156,0.9493959392547607,"[7, 94, 69, 44, 50, 26, 75, 24, 33, 18]","[[24, 94], [50, 33], [94, 18], [26, 75], [75, 18]]",18.7370879999944
138,73.44999694824219,0.9094071840286255,"[89, 75, 84, 93, 35, 71, 19, 63, 59, 94]","[[89, 84], [71, 35], [19, 71], [84, 35], [94, 84]]",17.324704300030135
139,69.68000030517578,1.043028154373169,"[54, 66, 17, 43, 53, 40, 76, 1, 4, 81]","[[81, 66], [1, 40], [40, 4], [17, 40], [53, 81]]",16.386083899997175
140,71.66999816894531,0.9702309610366822,"[52, 51, 97, 7, 41, 61, 29, 88, 49, 26]","[[26, 51], [97, 52], [7, 88], [29, 52], [51, 61]]",17.5384219000116
141,72.9000015258789,0.9194603479385376,"[21, 47, 20, 59, 85, 2, 99, 70, 54, 50]","[[99, 2], [50, 99], [20, 54], [59, 85], [54, 47]]",16.957039500004612
142,66.69999694824219,1.1837942443847655,"[65, 98, 79, 6, 58, 92, 19, 37, 33, 75]","[[37, 79], [33, 98], [19, 75], [75, 58], [79, 33]]",21.36200409999583
143,61.41999816894531,1.3786120901107788,"[44, 84, 56, 0, 69, 15, 66, 78, 42, 95]","[[66, 0], [42, 78], [84, 44], [44, 95], [0, 15]]",16.27172660001088
144,71.41000366210938,0.9070640604019164,"[36, 20, 53, 26, 80, 67, 25, 37, 39, 10]","[[36, 67], [10, 20], [26, 80], [80, 10], [53, 20]]",19.531849900027737
145,71.69999694824219,0.9475632276535034,"[54, 62, 65, 69, 82, 46, 64, 70, 59, 11]","[[69, 11], [59, 65], [64, 70], [62, 69], [70, 64]]",18.10128599999007
146,61.70000076293945,1.364086141395569,"[78, 89, 64, 25, 85, 9, 57, 41, 97, 45]","[[25, 85], [45, 9], [89, 25], [64, 97], [41, 89]]",16.2241799000185
147,70.73999786376953,0.9868136923789979,"[32, 8, 70, 41, 12, 19, 88, 20, 98, 33]","[[98, 41], [32, 19], [70, 32], [19, 98], [41, 33]]",16.226224299985915
